strike,type,premium
40.0,P,0.01
40.5,P,0.01
41.0,C,23.63
41.0,P,0.01
41.5,P,0.01
42.0,P,0.01
42.5,P,0.01
43.0,P,0.01
43.5,P,0.01
44.0,C,20.63
44.0,P,0.01
44.5,P,0.01
45.0,C,19.63
45.0,P,0.01
45.5,C,19.13
45.5,P,0.01
46.0,C,18.63
46.0,P,0.01
46.5,P,0.01
47.0,C,17.63
47.0,P,0.01
47.5,C,17.13
47.5,P,0.01
48.0,C,16.64
48.0,P,0.01
48.5,C,16.14
48.5,P,0.01
49.0,C,15.64
49.0,P,0.01
49.5,P,0.01
50.0,C,14.64
50.0,P,0.01
50.5,C,14.14
50.5,P,0.01
51.0,C,13.64
51.0,P,0.01
51.5,C,13.14
51.5,P,0.01
52.0,C,12.64
52.0,P,0.01
52.5,C,12.14
52.5,P,0.01
53.0,C,11.64
53.0,P,0.02
53.5,C,11.14
53.5,P,0.02
54.0,C,10.64
54.0,P,0.02
54.5,C,10.15
54.5,P,0.02
55.0,C,9.65
55.0,P,0.02
55.5,C,9.15
55.5,P,0.02
56.0,C,8.65
56.0,P,0.02
56.5,C,8.16
56.5,P,0.03
57.0,C,7.66
57.0,P,0.04
57.5,C,7.81
57.5,P,0.05
58.0,C,7.54
58.0,P,0.05
58.5,C,7.04
58.5,P,0.06
59.0,C,5.9
59.0,P,0.08
59.5,C,5.62
59.5,P,0.08
60.0,C,5.14
60.0,P,0.09
60.5,C,4.17
60.5,P,0.11
61.0,C,3.8
61.0,P,0.15
61.5,C,3.26
61.5,P,0.16
62.0,C,2.83
62.0,P,0.21
62.5,C,2.84
62.5,P,0.28
63.0,C,2.44
63.0,P,0.38
63.5,C,1.73
63.5,P,0.5
64.0,C,1.47
64.0,P,0.68
64.5,C,1.36
64.5,P,0.95
65.0,C,1.15
65.0,P,1.16
65.5,C,0.95
65.5,P,1.79
66.0,C,0.78
66.0,P,1.96
66.5,C,0.68
66.5,P,2.37
67.0,C,0.57
67.0,P,2.64
67.5,C,0.47
67.5,P,3.12
68.0,C,0.4
68.0,P,3.76
68.5,C,0.37
68.5,P,3.89
69.0,C,0.31
69.0,P,4.67
69.5,C,0.28
69.5,P,5.13
70.0,C,0.23
70.0,P,5.4
70.5,C,0.24
70.5,P,5.91
71.0,C,0.19
71.0,P,6.52
71.5,C,0.27
71.5,P,7.06
72.0,C,0.19
72.0,P,7.3
72.5,C,0.18
72.5,P,8.03
73.0,C,0.14
73.0,P,8.6
73.5,C,0.14
73.5,P,9.01
74.0,C,0.15
74.0,P,9.25
74.5,C,0.12
74.5,P,9.7
75.0,C,0.1
75.0,P,10.48
75.5,C,0.1
75.5,P,10.98
76.0,C,0.14
76.0,P,11.47
76.5,C,0.1
76.5,P,11.97
77.0,C,0.09
77.0,P,12.46
77.5,C,0.11
77.5,P,12.95
78.0,C,0.13
78.0,P,13.29
78.5,C,0.09
78.5,P,13.94
79.0,C,0.11
79.0,P,14.44
79.5,C,0.07
79.5,P,14.93
80.0,C,0.08
80.0,P,15.43
80.5,C,0.08
80.5,P,15.92
81.0,C,0.07
81.0,P,16.26
81.5,C,0.07
81.5,P,16.92
82.0,C,0.05
82.0,P,17.41
82.5,C,0.06
82.5,P,17.91
83.0,C,0.07
83.5,C,0.06
84.0,C,0.04
84.0,P,19.4
84.5,C,0.04
84.5,P,19.9
85.0,C,0.04
85.0,P,20.4
85.5,C,0.04
86.0,C,0.06
86.0,P,21.4
86.5,C,0.04
86.5,P,21.9
87.0,C,0.04
87.0,P,22.39
87.5,C,0.03
88.0,C,0.03
88.5,C,0.05
89.0,C,0.04
89.0,P,24.39
89.5,C,0.03
89.5,P,24.89
