as_of,expiry,T,F,rmse,converged,alpha,beta,rho,nu,shift,n_points_fit
2026-02-11,2026-02-20,0.024657534246575342,64.98,0.13795718948892063,True,0.41952963490356276,1.0,0.2986942659187046,4.999999999999999,0.0,154
2026-02-11,2026-03-20,0.10136986301369863,64.81,0.0324074112107856,True,0.37321338302085155,1.0,0.4379003993560103,3.0863889425562765,0.0,160
2026-02-11,2026-04-21,0.18904109589041096,64.62,0.030305772414875753,True,0.3622255212903193,1.0,0.3921687020111428,2.0725823191876453,0.0,155
2026-02-11,2026-05-19,0.26575342465753427,64.38,0.024163501591918768,True,0.3604490181508542,1.0,0.3020204255962504,1.6111451203675455,0.0,159
2026-02-11,2026-06-22,0.3589041095890411,64.12,0.01694204548261378,True,0.3464216678019713,1.0,0.18640682137726908,1.3180585461678023,0.0,165
2026-02-11,2026-07-21,0.4383561643835616,63.49,0.006688291572483719,True,0.3452615571644856,1.0,0.0628157919059813,1.0689228815860972,0.0,157
2026-02-11,2026-08-20,0.5205479452054794,63.17,0.008398788734856845,True,0.33800727956960536,1.0,0.011328905457303026,0.9345655339773594,0.0,148
2026-02-11,2026-09-22,0.6109589041095891,62.84,0.006009583665503036,True,0.32727248364832906,1.0,-0.03672090223777459,0.8723316363855175,0.0,103
2026-02-11,2026-10-20,0.6876712328767123,62.54,0.0035656020602360863,True,0.31834998917559654,1.0,-0.07130383750343448,0.8270975998831958,0.0,82
2026-02-11,2026-11-20,0.7726027397260274,62.49,0.006505638423446928,True,0.3094465857104713,1.0,-0.11944703768602162,0.7793991300134383,0.0,132
2026-02-11,2026-12-21,0.8575342465753425,62.04,0.0030457230977251133,True,0.3039175375346073,1.0,-0.14971570537660178,0.7202808328224319,0.0,34
2026-02-11,2027-01-20,0.9397260273972603,61.84,0.0024473914954055423,True,0.29831869223596885,1.0,-0.2274674065371998,0.6631447724313253,0.0,24
2026-02-11,2027-02-22,1.0301369863013699,61.69,0.007544490771260732,True,0.29172918515020224,1.0,-0.2162343496657197,0.605131167831559,0.0,26
2026-02-11,2027-03-22,1.106849315068493,61.57,0.000812568364379164,True,0.2866423974384048,1.0,-0.36442862460915965,0.6991103500870054,0.0,7
2026-02-11,2027-05-20,1.2684931506849315,61.53,0.005353776363579685,True,0.27761650816513617,1.0,-0.34605354349401823,0.5770928231873168,0.0,30
2026-02-11,2027-08-20,1.5205479452054795,61.3,0.0036205492987033236,True,0.2663135429838478,1.0,-0.37810603380867797,0.522245320659432,0.0,9
2026-02-11,2027-11-19,1.7698630136986302,61.4,0.0039003642139871357,True,0.24798388867990553,1.0,-0.27768077885963277,0.6179607307383782,0.0,38
